coors
"(299, 237)"
"(124, 280)"
"(125, 279)"
"(126, 279)"
"(127, 278)"
"(128, 278)"
"(129, 277)"
"(131, 277)"
"(132, 276)"
"(133, 276)"
"(134, 275)"
"(135, 275)"
"(136, 274)"
"(138, 274)"
"(139, 273)"
"(140, 273)"
"(141, 272)"
"(142, 272)"
"(143, 271)"
"(145, 271)"
"(146, 270)"
"(147, 270)"
"(148, 269)"
"(150, 269)"
"(151, 268)"
"(152, 268)"
"(153, 267)"
"(155, 267)"
"(156, 266)"
"(158, 266)"
"(159, 265)"
"(161, 265)"
"(162, 264)"
"(163, 264)"
"(164, 263)"
"(166, 263)"
"(167, 262)"
"(170, 262)"
"(171, 261)"
"(173, 261)"
"(174, 260)"
"(176, 260)"
"(177, 259)"
"(180, 259)"
"(181, 258)"
"(183, 258)"
"(184, 257)"
"(187, 257)"
"(188, 256)"
"(192, 256)"
"(193, 255)"
"(197, 255)"
"(198, 254)"
"(203, 254)"
"(204, 253)"
"(209, 253)"
"(210, 252)"
"(215, 252)"
"(216, 251)"
"(221, 251)"
"(222, 250)"
"(226, 250)"
"(227, 249)"
"(233, 249)"
"(234, 248)"
"(240, 248)"
"(241, 247)"
"(248, 247)"
"(249, 246)"
"(256, 246)"
"(257, 245)"
"(265, 245)"
"(266, 244)"
"(276, 244)"
"(277, 243)"
"(292, 243)"
"(293, 242)"
"(343, 242)"
"(344, 243)"
"(365, 243)"
"(366, 244)"
"(379, 244)"
"(380, 245)"
"(391, 245)"
"(392, 246)"
"(405, 246)"
"(406, 247)"
"(414, 247)"
"(415, 248)"
"(423, 248)"
"(424, 249)"
"(432, 249)"
"(433, 250)"
"(439, 250)"
"(440, 251)"
"(447, 251)"
"(448, 252)"
"(453, 252)"
"(454, 253)"
"(461, 253)"
"(457, 253)"
"(456, 252)"
"(456, 251)"
"(455, 252)"
"(452, 252)"
"(451, 251)"
"(444, 251)"
"(443, 250)"
"(441, 250)"
"(440, 249)"
"(432, 249)"
"(431, 248)"
"(426, 248)"
"(425, 247)"
"(423, 247)"
"(422, 246)"
"(424, 244)"
"(425, 245)"
"(426, 244)"
"(427, 245)"
"(432, 245)"
"(433, 246)"
"(440, 246)"
"(441, 247)"
"(449, 247)"
"(450, 248)"
"(451, 247)"
"(452, 248)"
"(456, 248)"
"(457, 249)"
"(459, 249)"
"(460, 248)"
"(461, 249)"
"(464, 249)"
"(465, 250)"
"(467, 250)"
"(468, 249)"
"(469, 250)"
"(474, 250)"
"(475, 251)"
"(476, 250)"
"(477, 250)"
"(478, 251)"
"(482, 251)"
"(483, 252)"
"(493, 252)"
"(494, 253)"
"(500, 253)"
"(501, 254)"
"(506, 254)"
"(507, 255)"
"(508, 255)"
"(509, 254)"
"(510, 255)"
"(515, 255)"
"(516, 256)"
"(517, 255)"
"(518, 256)"
"(526, 256)"
"(527, 257)"
"(534, 257)"
"(527, 257)"
"(526, 256)"
"(519, 256)"
"(518, 255)"
"(512, 255)"
"(511, 254)"
"(505, 254)"
"(504, 253)"
"(497, 253)"
"(496, 252)"
"(490, 252)"
"(489, 251)"
"(487, 251)"
"(486, 252)"
"(485, 251)"
"(485, 250)"
"(476, 250)"
"(475, 249)"
"(469, 249)"
"(468, 248)"
"(460, 248)"
"(459, 247)"
"(451, 247)"
"(450, 246)"
"(443, 246)"
"(442, 245)"
"(435, 245)"
"(434, 244)"
"(425, 244)"
"(424, 243)"
"(417, 243)"
"(416, 242)"
"(405, 242)"
"(404, 241)"
"(396, 241)"
"(395, 242)"
"(393, 242)"
"(392, 241)"
"(393, 240)"
"(387, 240)"
"(386, 239)"
"(382, 239)"
"(381, 238)"
"(376, 238)"
"(375, 239)"
"(366, 239)"
"(365, 238)"
"(343, 238)"
"(342, 237)"
"(341, 238)"
"(340, 237)"
